Fatal,Country,Country
N,USA,1824
N,AUSTRALIA,914
N,SOUTH AFRICA,406
N,BAHAMAS,91
N,NEW ZEALAND,91
N,PAPUA NEW GUINEA,72
N,BRAZIL,64
N,ITALY,40
N,FIJI,38
N,MEXICO,36
N,NEW CALEDONIA,34
N,REUNION,30
N,SPAIN,25
N,EGYPT,24
N,FRENCH POLYNESIA,21
N,PHILIPPINES,21
N,MOZAMBIQUE,19
N,CUBA,17
N,ENGLAND,16
N,IRAN,16
N,JAPAN,16
N,SOLOMON ISLANDS,15
N,PANAMA,13
N,INDIA,12
N,TONGA,11
N,VIETNAM,11
N,BERMUDA,10
N,CROATIA,10
N,JAMAICA,10
N,PACIFIC OCEAN,10
N,ECUADOR,9
N,SRI LANKA,9
N,MARSHALL ISLANDS,8
N,SCOTLAND,8
N,SOUTH ATLANTIC OCEAN,8
N,UNITED KINGDOM,8
N,ATLANTIC OCEAN,7
N,CANADA,7
N,COLUMBIA,7
N,COSTA RICA,7
N,FRANCE,7
N,HONG KONG,7
N,INDONESIA,7
N,SAMOA,7
N,TURKEY,7
N,IRAQ,6
N,MAURITIUS,6
N,SENEGAL,6
N,TAIWAN,6
N,VENEZUELA,6
N,ISRAEL,5
N,PALAU,5
N,AZORES,4
N,CHILE,4
N,GREECE,4
N,MALAYSIA,4
N,NEW GUINEA,4
N,NORTH ATLANTIC OCEAN,4
N,RUSSIA,4
N,SIERRA LEONE,4
N,THAILAND,4
N,CHINA,3
N,KENYA,3
N,LIBYA,3
N,MADAGASCAR,3
N,MICRONESIA,3
N,MID ATLANTIC OCEAN,3
N,NORTH PACIFIC OCEAN,3
N,PERSIAN GULF,3
N,TURKS & CAICOS,3
N,UNITED ARAB EMIRATES,3
N,VANUATU,3
N,BARBADOS,2
N,CARIBBEAN SEA,2
N,DOMINICAN REPUBLIC,2
N,EL SALVADOR,2
N,GUAM,2
N,INDIAN OCEAN,2
N,MALTA,2
N,MARTINIQUE,2
N,NEW BRITAIN,2
N,NICARAGUA,2
N,OKINAWA,2
N,SEYCHELLES,2
N,SOUTH KOREA,2
N,ST. HELENA,2
N,ST. MARTIN,2
N,TANZANIA,2
N,TRINIDAD & TOBAGO,2
N,ADMIRALTY ISLANDS,1
N,ANGOLA,1
N,ARGENTINA,1
N,BELIZE,1
N,BRITISH ISLES,1
N,BRITISH NEW GUINEA,1
N,BRITISH WEST INDIES,1
N,CENTRAL PACIFIC,1
N,CURACAO,1
N,FALKLAND ISLANDS,1
N,FEDERATED STATES OF MICRONESIA,1
N,GEORGIA,1
N,GRAND CAYMAN,1
N,GRENADA,1
N,GUYANA,1
N,HAITI,1
N,ICELAND,1
N,JOHNSTON ISLAND,1
N,KIRIBATI,1
N,KUWAIT,1
N,MALDIVES,1
N,MEDITERRANEAN SEA,1
N,MID-PACIFC OCEAN,1
N,MONTENEGRO,1
N,NAMIBIA,1
N,NETHERLANDS ANTILLES,1
N,NIGERIA,1
N,NORTH SEA,1
N,NORTHERN ARABIAN SEA,1
N,NORTHERN MARIANA ISLANDS,1
N,NORWAY,1
N,OCEAN,1
N,PALESTINIAN TERRITORIES,1
N,PORTUGAL,1
N,PUERTO RICO,1
N,RED SEA,1
N,SAUDI ARABIA,1
N,SINGAPORE,1
N,SLOVENIA,1
N,SOMALIA,1
N,SOUTH CHINA SEA,1
N,SOUTHWEST PACIFIC OCEAN,1
N,SUDAN,1
N,SUDAN?,1
N,TASMAN SEA,1
N,TOBAGO,1
N,TUNISIA,1
N,URUGUAY,1
N,YEMEN,1
