,Year,Country,Fatal,Decade
0,2018,USA,N,2010.0
1,2018,USA,N,2010.0
2,2018,USA,N,2010.0
3,2018,AUSTRALIA,N,2010.0
4,2018,MEXICO,N,2010.0
5,2018,AUSTRALIA,N,2010.0
6,2018,BRAZIL,Y,2010.0
7,2018,USA,N,2010.0
8,2018,USA,N,2010.0
9,2018,USA,N,2010.0
10,2018,AUSTRALIA,N,2010.0
11,2018,USA,N,2010.0
12,2018,USA,N,2010.0
13,2018,ENGLAND,N,2010.0
14,2018,AUSTRALIA,N,2010.0
15,2018,SOUTH AFRICA,N,2010.0
16,2018,AUSTRALIA,N,2010.0
17,2018,THAILAND,N,2010.0
18,2018,COSTA RICA,N,2010.0
19,2018,AUSTRALIA,N,2010.0
20,2018,AUSTRALIA,N,2010.0
21,2018,AUSTRALIA,N,2010.0
22,2018,AUSTRALIA,N,2010.0
23,2018,MALDIVES,N,2010.0
24,2018,SOUTH AFRICA,N,2010.0
25,2018,USA,N,2010.0
26,2018,THAILAND,N,2010.0
28,2018,AUSTRALIA,N,2010.0
29,2018,AUSTRALIA,N,2010.0
30,2018,BAHAMAS,N,2010.0
31,2018,BRAZIL,N,2010.0
32,2018,NEW CALEDONIA,N,2010.0
33,2018,BAHAMAS,N,2010.0
34,2018,SOUTH AFRICA,N,2010.0
35,2018,USA,N,2010.0
36,2018,AUSTRALIA,N,2010.0
37,2018,AUSTRALIA,N,2010.0
38,2018,AUSTRALIA,N,2010.0
39,2018,SOUTH AFRICA,N,2010.0
40,2018,AUSTRALIA,N,2010.0
41,2018,AUSTRALIA,N,2010.0
42,2018,AUSTRALIA,N,2010.0
43,2018,AUSTRALIA,N,2010.0
44,2018,BRAZIL,N,2010.0
45,2018,ECUADOR,N,2010.0
46,2018,AUSTRALIA,N,2010.0
47,2018,AUSTRALIA,N,2010.0
48,2018,NEW CALEDONIA,N,2010.0
49,2018,AUSTRALIA,N,2010.0
50,2018,AUSTRALIA,N,2010.0
51,2018,BRAZIL,N,2010.0
52,2018,AUSTRALIA,N,2010.0
53,2017,USA,N,2010.0
54,2017,USA,N,2010.0
55,2017,MALAYSIA,N,2010.0
56,2017,BAHAMAS,N,2010.0
57,2017,COSTA RICA,N,2010.0
58,2017,COSTA RICA,Y,2010.0
59,2017,LIBYA,Y,2010.0
60,2017,USA,N,2010.0
61,2017,USA,N,2010.0
63,2017,AUSTRALIA,N,2010.0
64,2017,CUBA,Y,2010.0
65,2017,AUSTRALIA,N,2010.0
66,2017,AUSTRALIA,N,2010.0
67,2017,USA,N,2010.0
68,2017,MAURITIUS,N,2010.0
69,2017,USA,N,2010.0
70,2017,USA,N,2010.0
71,2017,AUSTRALIA,N,2010.0
72,2017,NEW ZEALAND,N,2010.0
73,2017,USA,N,2010.0
74,2017,USA,N,2010.0
75,2017,USA,N,2010.0
77,2017,USA,N,2010.0
78,2017,AUSTRALIA,N,2010.0
80,2017,USA,N,2010.0
81,2017,USA,N,2010.0
82,2017,SPAIN,N,2010.0
83,2017,USA,N,2010.0
85,2017,SAMOA,N,2010.0
86,2017,AUSTRALIA,N,2010.0
87,2017,USA,N,2010.0
88,2017,AUSTRALIA,N,2010.0
89,2017,AUSTRALIA,N,2010.0
90,2017,SOLOMON ISLANDS,N,2010.0
91,2017,SOUTH AFRICA,Y,2010.0
92,2017,JAPAN,N,2010.0
93,2017,USA,N,2010.0
94,2017,USA,N,2010.0
95,2017,USA,N,2010.0
96,2017,AUSTRALIA,N,2010.0
97,2017,USA,N,2010.0
99,2017,NEW ZEALAND,N,2010.0
100,2017,USA,N,2010.0
101,2017,BAHAMAS,N,2010.0
102,2017,USA,N,2010.0
103,2017,EGYPT,N,2010.0
104,2017,USA,N,2010.0
105,2017,USA,N,2010.0
106,2017,USA,N,2010.0
108,2017,USA,N,2010.0
109,2017,BAHAMAS,N,2010.0
110,2017,BAHAMAS,N,2010.0
111,2017,"ST HELENA, British overseas territory",N,2010.0
112,2017,USA,N,2010.0
113,2017,SPAIN,N,2010.0
114,2017,USA,N,2010.0
116,2017,USA,N,2010.0
117,2017,USA,N,2010.0
118,2017,USA,N,2010.0
119,2017,AUSTRALIA,N,2010.0
120,2017,USA,N,2010.0
121,2017,USA,N,2010.0
122,2017,MEXICO,N,2010.0
123,2017,SOUTH AFRICA,N,2010.0
126,2017,USA,N,2010.0
127,2017,USA,N,2010.0
128,2017,USA,N,2010.0
129,2017,REUNION,N,2010.0
130,2017,SPAIN,N,2010.0
131,2017,FRENCH POLYNESIA,N,2010.0
132,2017,BAHAMAS,N,2010.0
133,2017,AUSTRALIA,N,2010.0
134,2017,AUSTRALIA,N,2010.0
135,2017,USA,N,2010.0
136,2017,UNITED KINGDOM,N,2010.0
137,2017,USA,N,2010.0
138,2017,BAHAMAS,N,2010.0
139,2017,USA,N,2010.0
140,2017,USA,N,2010.0
